0.00045,0
0.00056,0
0.00071,0
0.00089,0
0.00112,0
0.00141,0
0.00178,0
0.00224,0
0.00282,0
0.00355,0
0.00447,0
0.00562,0
0.00708,0
0.00891,0
0.01122,0
0.01413,0
0.01778,0
0.02239,0
0.02818,0
0.03548,0
0.04467,0
0.05623,0
0.07079,0
0.08913,0
0.11220,0
0.14125,0
0.17783,0
0.22387,0
0.28184,0
0.35481,0
0.44668,0
0.56234,0
0.70795,0
0.89125,0
1.12202,0
1.41254,0
1.77828,0
2.23872,0
2.81838,0
3.54813,0
4.46684,4
5.62341,1
7.07946,0
8.91251,0
11.22018,7
14.12538,1
17.78279,0
22.38721,6
28.18383,0
35.48134,1
44.66836,5
56.23413,5
70.79458,0
89.12509,1
112.20185,5
141.25375,0
177.82794,0
